sourcetype,host,"_time","src_ip","dest_ip"
"stream:ip","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:57:09.296+05:30","13.125.33.130","172.16.0.178"
"stream:ip","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:53:20.746+05:30","13.125.33.130","172.16.0.178"
"stream:ip","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:52:39.897+05:30","13.125.33.130","172.16.0.178"
"stream:udp","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:52:39.897+05:30","13.125.33.130","172.16.0.178"
"stream:udp","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:51:59.095+05:30","13.125.33.130","172.16.0.178"
"stream:ip","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:51:59.095+05:30","13.125.33.130","172.16.0.178"
"stream:ip","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:50:47.588+05:30","13.125.33.130","172.16.0.178"
"stream:udp","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:50:47.588+05:30","13.125.33.130","172.16.0.178"
"stream:udp","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:50:37.697+05:30","13.125.33.130","172.16.0.178"
"stream:ip","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:50:37.697+05:30","13.125.33.130","172.16.0.178"
"stream:udp","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:49:27.039+05:30","13.125.33.130","172.16.0.178"
"stream:ip","gacrux.i-06fea586f3d3c8ce8","2018-08-20T20:49:27.039+05:30","13.125.33.130","172.16.0.178"
"stream:ip","JWORTOS-L","2018-08-20T20:48:00.966+05:30","172.16.133.131","172.16.133.2"
"stream:dns","JWORTOS-L","2018-08-20T20:48:00.966+05:30","172.16.133.131","172.16.133.2"
"stream:ip","PCERF-L","2018-08-20T20:48:00.598+05:30","172.16.197.137","52.232.69.150"
"stream:ip","PCERF-L","2018-08-20T20:48:00.598+05:30","172.16.197.137","52.162.121.71"
"stream:ip","PCERF-L","2018-08-20T20:48:00.598+05:30","172.16.197.137","224.0.0.251"
"stream:ip","PCERF-L","2018-08-20T20:48:00.598+05:30","172.16.197.137","192.95.9.65"
"stream:ip","PCERF-L","2018-08-20T20:48:00.598+05:30","172.16.197.137","172.16.197.2"
"stream:ip","PCERF-L","2018-08-20T20:48:00.598+05:30","172.16.197.137","13.107.3.128"
